Year,Net migration Total,Net migration EU,Net migration non-EU,GDP growth (%),Unemployment rate (%)
2010,0,0,0,2.23%,7.9%
2011,0,0,0,1.14%,8.1%
2012,"195,000","206,000","61,000",1.51%,7.9%
2013,"244,000","262,000","63,000",1.80%,7.6%
2014,"284,000","277,000","87,000",3.19%,6.2%
2015,"303,000","287,000","88,000",2.22%,5.4%
2016,"249,000","253,000","90,000",1.92%,4.9%
2017,"208,000","176,000","114,000",2.66%,4.4%
2018,"276,000","170,000","178,000",1.41%,4.1%
2019,"184,000","80,000","186,000",1.62%,3.8%
2020,"93,000","70,000","101,000",-10.30%,4.6%
2021,"484,000","-77,000","529,000",8.58%,4.6%
2022,"873,000","-88,000","965,000",4.84%,3.8%
2023,"860,000","-55,000","952,000",0.40%,4.1%
2024,"431,000","-96,000","544,000",1.10%,4.3%
,,,,,
,,,,,
,,,,,
