Local Authority,Number of crimes
Aberdeen City,14319.0
Aberdeenshire,7670.0
Angus,4688.0
Argyll and Bute,3469.0
Clackmannanshire,2645.0
Dumfries and Galloway,7774.0
Dundee City,11771.0
East Ayrshire,6434.0
East Dunbartonshire,2641.0
East Lothian,4757.0
East Renfrewshire,2602.0
City of Edinburgh,38116.0
Falkirk,8032.0
Fife,18901.0
Glasgow City,52406.0
Highland,10256.0
Inverclyde,4032.0
Midlothian,4953.0
Moray,3955.0
Na h-Eileanan Siar,572.0
North Ayrshire,7598.0
North Lanarkshire,19384.0
Orkney Islands,515.0
Perth and Kinross,6069.0
Renfrewshire,9667.0
Scottish Borders,4554.0
Shetland Islands,414.0
South Ayrshire,5167.0
South Lanarkshire,16150.0
Stirling,3732.0
West Dunbartonshire,5832.0
West Lothian,10036.0
