School_Name,latX,longY,Language,Town
Ysgol Glan Aber,53.27822999,-3.18924001,English medium,BAGILLT
Ysgol Merllyn,53.26507999,-3.16798,English medium,BAGILLT
Westwood Cp,53.16740637,-3.08140381,English medium,BUCKLEY
Ewloe Green,53.19052995,-3.06079004,English medium,EWLOE GREEN
Bryn Garth Cp,53.32491999,-3.30468001,English medium,PEN-Y-FFORDD
Ysgol Gwynedd Cp,53.24515999,-3.13371998,English medium,FLINT
Ysgol Maesglas,53.29034,-3.2129,English medium,GREENFIELD
Ysgol Gymraeg Mornant,53.32896999,-3.32545001,Welsh medium,PEN-Y-FFORDD
Ysgol Estyn Community School,53.11448999,-3.03330001,English medium,HOPE
Ysgol Glanrafon,53.16275999,-3.14515001,Welsh medium,MOLD
Northop Hall,53.20288999,-3.09297,English medium,NORTHOP HALL
Wood Memorial Primary School,53.17836999,-2.92207001,English medium,SALTNEY
Sealand Cp School,53.21322999,-3.01196002,English medium,GARDEN CITY
Sychdyn Cp,53.19009999,-3.13244,English medium,SOUGHTON
Trelogan Primary,53.30685999,-3.32509,English medium,TRELOGAN
Bryn Pennant Cp,53.30787,-3.26127001,English medium,MAES PENNANT
Ysgol Bro Carmel,53.28111999,-3.25636002,English medium,CARMEL
Rhos Helyg School,53.21738999,-3.18231002,English medium,RHOSESMOR
Ysgol Terrig,53.11360998,-3.11815001,Welsh medium,TREUDDYN
Ysgol Bryn Deva,53.21758999,-3.06573001,English medium,CONNAHS QUAY
Sandycroft Cp,53.19914999,-3.01229001,English medium,MANCOT
Gwernymynydd Cp School,53.15644999,-3.17040001,English medium,GWERNYMYNYDD
Queensferry Community Primary School,53.20637999,-3.02988001,English medium,QUEENSFERRY
Ysgol Bryn Coch,53.16575998,-3.13968001,English medium,MOLD
Mountain Lane Primary School,53.17014999,-3.07343001,English medium,BUCKLEY
"Ysgol Y Foel, Cilcain",53.17932999,-3.23351001,English medium,CILCAIN
Brynford Cp,53.25769999,-3.23429001,English medium,BRYNFORD
Ysgol Bryn Gwalia,53.16678999,-3.15090001,English medium,MOLD
Golftyn Cp School,53.22084999,-3.07044001,English medium,CONNAHS QUAY
Saltney Ferry Cp,53.17719999,-2.94597001,English medium,SALTNEY FERRY
Y Waun,53.17322999,-3.19197001,English medium,GWERNAFFIELD
Ysgol Gwenffrwd,53.27597999,-3.22743001,Welsh medium,HOLYWELL
Abermorddu Cp School,53.10158998,-3.03330002,English medium,ABERMORDDU
Southdown Cp,53.17028999,-3.08860001,English medium,BUCKLEY
Wepre Community School,53.20431,-3.07118999,English medium,CONNAHS QUAY
Drury Primary School,53.17040999,-3.05325002,English medium,DRURY
Cornist Park Cp,53.24539998,-3.15159003,English medium,FLINT
Ysgol Derwenfa Cp,53.13022999,-3.08815002,English medium,LEESWOOD
Penarlag Cp,53.19219998,-3.04341002,English medium,EWLOE
Owen Jones Cp,53.20855999,-3.13689001,English medium,NORTHOP
Gronant Primary School,53.33815999,-3.35596002,English medium,GRONANT
Ysgol Gymraeg Croes Atti,53.24566998,-3.12616,Welsh medium,OAKENHOLT
Ysgol Parc Y Llan,53.11370998,-3.11783001,English medium,TREUDDYN
Ysgol Mynydd Isa,53.17325998,-3.1103,English medium,MYNYDD ISA
Broughton Primary School,53.16668999,-2.98555001,English medium,BROUGHTON
Ysgol Cae'R Nant,53.21363,-3.05422001,English medium,CONNAHS QUAY
Ysgol Penyffordd,53.15044999,-3.04211,English medium,PENYFFORDD
Ysgol Ty Ffynnon,53.20861999,-3.04634001,English medium,SHOTTON
Ysgol Maes Y Felin,53.27603217,-3.21457669,English medium,HOLYWELL
Nannerch Vcp School,53.21646998,-3.24917,English medium,NANNERCH
Ysgol Yr Esgob C In W,53.24501998,-3.31029001,English medium,CAERWYS
St Mary'S,53.24082998,-3.12896,English medium,FLINT
St Winefrides,53.27535999,-3.22644001,English medium,HOLYWELL
St David'S Catholic Primary School,53.16975999,-3.13513002,English medium,MOLD
St Anthony'S Catholic Primary,53.17839999,-2.92503001,English medium,SALTNEY
Venerable Edward Morgan Rc,53.20690999,-3.04290001,English medium,SHOTTON
Trelawnyd,53.30690999,-3.36907001,English medium,TRELAWNYD
Ysgol Y Llan Va Primary School Whitford,53.29445999,-3.28168002,English medium,WHITFORD
St Ethelwolds,53.20203999,-3.03923002,English medium,SHOTTON
St John The Baptist Va School,53.15767998,-3.04010001,English medium,PENYMYNYDD
Nercwys Va,53.13556999,-3.14371001,English medium,NERCWYS
Hawarden Village Va,53.18527999,-3.02246001,English medium,HAWARDEN
Derwen Foundation School,53.14562999,-3.00208002,English medium,HIGHER KINNERTON
Abermule Primary School,52.54550999,-3.23636001,English medium,MONTGOMERY
Arddleen Cp School,52.73386999,-3.10101001,English medium,LLANYMYNECH
Berriew Cp School,52.60148999,-3.20522002,English medium,WELSHPOOL
Caersws Cp School,52.52055999,-3.42457002,English medium,CAERSWS
Carno Cp School,52.55676,-3.53421,Welsh medium,CAERSWS
Carreghofa Cp School,52.77865999,-3.09773,English medium,LLANYMYNECH
Leighton Cp School,52.64853999,-3.12157002,English medium,WELSHPOOL
Ysgol Llanbrynmair,52.61046999,-3.62864001,Welsh medium,LLANBRYNMAIR
Llandinam Cp School,52.48590999,-3.43485002,English medium,LLANDINAM
Meifod Cp School,52.71149999,-3.25492001,English medium,MEIFOD
Penygloddfa Cp School,52.51934998,-3.31683001,English medium,NEWTOWN
Pontrobert Cp School,52.70308999,-3.32365001,Welsh medium,MEIFOD
Ysgol Dyffryn Trannon,52.50588998,-3.5156,Dual stream,CAERSWS
Guilsfield Cp School,52.69483999,-3.15658001,English medium,WELSHPOOL
Llanidloes Cp School,52.44348999,-3.54458001,English medium,LLANIDLOES
Buttington Trewern Cp School,52.68799999,-3.07554001,English medium,WELSHPOOL
Brynhafren Cp School,52.73118999,-3.00593001,English medium,SHREWSBURY
Churchstoke Cp School,52.53825999,-3.07428,English medium,MONTGOMERY
Ysgol Gynradd Glantwymyn,52.62486999,-3.73941001,Welsh medium,MACHYNLLETH
Ysgol Pennant,52.81146999,-3.35377002,Welsh medium,OSWESTRY
Maesyrhandir Cp School,52.50435998,-3.32753002,English medium,NEWTOWN
Treowen Cp School,52.51139998,-3.30931001,English medium,NEWTOWN
Franksbridge Cp School,52.19714999,-3.29038001,English medium,LLANDRINDOD WELLS
Llanbister Cp School,52.35132999,-3.31055999,English medium,LLANDRINDOD WELLS
Ysgol Cefnllys,52.23944998,-3.37246,English medium,LLANDRINDOD WELLS
Llanfihangel Rhydithon Cp,52.29730998,-3.23477001,English medium,LLANDRINDOD WELLS
Presteigne Cp School,52.27172999,-3.01144001,English medium,PRESTEIGNE
Radnor Valley Cp School,52.23943999,-3.15108001,English medium,PRESTEIGNE
Crossgates Cp School,52.27562999,-3.33551,English medium,LLANDRINDOD WELLS
Mount Street Cp Junior,51.94968606,-3.39002893,English medium,BRECON
Mount Street Cp Infants,51.95033578,-3.38785913,English medium,BRECON
Ysgol Dolafon,52.10746998,-3.64191002,English with significant Welsh,LLANWRTYD WELLS
Builth Wells Cp School,52.14712998,-3.40888001,Dual stream,BUILTH WELLS
Sennybridge Cp School,51.94463998,-3.56995001,Dual stream,BRECON
Crickhowell Cp School,51.86423999,-3.13999001,English medium,CRICKHOWELL
Cradoc Cp School,51.96515998,-3.43426003,English medium,BRECON
Hay-On-Wye Cp School,52.07211712,-3.12680854,English medium,HEREFORD
Llangynidr Cp School,51.86651998,-3.22971001,English medium,CRICKHOWELL
Irfon Valley Cp School,52.13404999,-3.53331,English medium,LLANGAMMARCH WELLS
Llanfaes Cp School,51.94381999,-3.39897002,English medium,BRECON
Ysgol Y Bannau,51.95250542,-3.37928545,Welsh medium,BRECON
Ysgol Rhiw Bechan,52.57835999,-3.33355001,Dual stream,NEWTOWN
Llanrhaeadr Ym Mochnant Cp School,52.82236998,-3.29371,Dual stream,OSWESTRY
Ysgol Bro Cynllaith,52.84396998,-3.17439002,English medium,OSWESTRY
Ysgol Dafydd Llwyd,52.50848998,-3.31884002,Welsh medium,NEWTOWN
Ysgol Y Cribarth,51.80091999,-3.71790001,English medium,SWANSEA
Ysgol Golwg Y Cwm,51.78270999,-3.74523002,English medium,YSTRADGYNLAIS
Ysgol Bro Tawe,51.76602946,-3.77106828,English medium,YSTRADGYNLAIS
Ysgol Gymraeg Dyffryn Y Glowyr,51.77431999,-3.78030001,Welsh medium,SWANSEA
Ysgol Y Mynydd Du,51.99679998,-3.23036,English medium,TALGARTH
Ysgol Gymraeg Y Trallwng,52.66376653,-3.15126992,Welsh medium,WELSHPOOL
Llanfechain Ciw School,52.77436999,-3.20406001,English medium,LLANFECHAIN
Montgomery Ciw School,52.56244999,-3.14567001,English medium,MONTGOMERY
Forden Ciw School,52.60186999,-3.13978002,English medium,WELSHPOOL
Llandysilio Ciw School,52.76245998,-3.08403002,English medium,LLANYMYNECH
Castle Caereinion Ciw,52.64066999,-3.23941001,English medium,WELSHPOOL
Gladestry Ciw School,52.18946998,-3.12363001,English medium,KINGTON
Ysgol Trefonnen Church In Wales Community Primary,52.24751998,-3.37419001,Dual stream,LLANDRINDOD WELLS
Newbridge-On-Wye Church In Wales School,52.21208999,-3.43963001,English medium,LLANDRINDOD WELLS
Clyro Ciw School,52.08336999,-3.15195002,English medium,HEREFORD
Knighton Ciw School,52.34117999,-3.04260001,English medium,KNIGHTON
Rhayader Ciw School,52.30753999,-3.51336001,Dual stream,RHAYADER
Llanelwedd Church In Wales Primary School,52.15606998,-3.39639003,English medium,BUILTH WELLS
Llangedwyn Primary School,52.80941999,-3.21180001,English medium,OSWESTRY
Llangors  Ciw School,51.94073354,-3.26322241,English medium,BRECON
Welshpool Church In Wales Primary School,52.65560319,-3.14277805,English medium,WELSHPOOL
St Michael'S Ciw School,52.50137999,-3.25594002,English medium,NEWTOWN
Llansantffraid Ciwa,52.77520999,-3.15442001,English medium,LLANSANTFFRAID-YM-MECHAIN
Llanbedr Ciw (Aided),51.87546998,-3.10562001,English medium,CRICKHOWELL
Archdeacon Griffiths Ciw Primary School,52.03761999,-3.27146001,English medium,BRECON
Priory Church In Wales School,51.9523086,-3.39143211,English medium,BRECON
St Mary`S Rc (A) School,52.51564998,-3.32342002,English medium,NEWTOWN
Llangattock Ciw School,51.85001,-3.14811002,English medium,CRICKHOWELL
Gelliswick Vc School,51.71198709,-5.05533039,English medium,MILFORD HAVEN
Ysgol Gynradd Amlwch,53.41189999,-4.34743001,Welsh medium,AMLWCH
Ysgol Gynradd Beaumaris,53.26473999,-4.10249002,Welsh medium,BEAUMARIS
Ysgol Gynradd Bodedern,53.29337999,-4.49899002,Welsh medium,HOLYHEAD
Ysgol Gymuned Bodffordd,53.26461999,-4.36126,Welsh medium,LLANGEFNI
Ysgol Gymuned Bryngwran,53.26882999,-4.47728,Welsh medium,HOLYHEAD
Ysgol Gynradd Brynsiencyn,53.17704998,-4.27254002,Welsh medium,LLANFAIR PWLLGWYNGYLL
Ysgol Cemaes,53.40804999,-4.45625001,Welsh medium,CEMAES
Ysgol Esceifiog,53.22133999,-4.27888001,Welsh medium,GAERWEN
Ysgol Gynradd Garreglefn,53.37282998,-4.43167001,Welsh medium,AMLWCH
Ysgol Gymuned Y Ffridd,53.25375999,-4.41411001,Welsh medium,HOLYHEAD
Ysgol Gymuned Moelfre,53.35355999,-4.24107001,Welsh medium,MOELFRE
Ysgol Gynradd Llanbedrgoch,53.30142999,-4.23201,Welsh medium,LLANBEDRGOCH
Ysgol Gynradd Llanfairpwll,53.22139999,-4.20412001,Welsh medium,LLANFAIR PWLLGWYNGYLL
Ysgol Gymuned Llanfechell,53.39042999,-4.45932001,Welsh medium,AMLWCH
Ysgol Y Graig,53.26081999,-4.2971,Welsh medium,LLANGEFNI
Ysgol Gynradd Llangoed,53.29182999,-4.09047002,Welsh medium,BEAUMARIS
Ysgol Henblas,53.23585999,-4.35412001,Welsh medium,BODORGAN
Ysgol Gymuned Llannerch-Y-Medd,53.33138999,-4.37575001,Welsh medium,LLANERCHYMEDD
Ysgol Pencarnisiog,53.23492999,-4.46967002,Welsh medium,TY CROES
Ysgol Gymuned Pentraeth,53.28144,-4.21879002,Welsh medium,PENTRAETH
Ysgol Penysarn,53.39047998,-4.31425,Welsh medium,PENYSARN
Ysgol Santes Gwenfaen,53.26631998,-4.59807001,Welsh medium,HOLYHEAD
Ysgol Gynradd Rhosneigr,53.23132998,-4.5171,Welsh medium,RHOSNEIGR
Ysgol Gynradd Rhosybol,53.37354998,-4.36485001,Welsh medium,AMLWCH
Ysgol Gynradd Talwrn,53.27425998,-4.27224001,Welsh medium,LLANGEFNI
Ysgol Gymuned Y Fali,53.28120999,-4.56862001,Welsh medium,HOLYHEAD
Ysgol Llanfawr,53.30776,-4.62384,Welsh medium,HOLYHEAD
Ysgol Goronwy Owen,53.32177998,-4.22845001,Welsh medium,TYN Y GONGL
Ysgol Gynradd Y Tywyn,53.26315999,-4.52318003,Welsh medium,HOLYHEAD
Ysgol Gynradd Llandegfan,53.24383998,-4.14660001,Welsh medium,MENAI BRIDGE
Ysgol Gynradd Y Borth,53.22966999,-4.16911001,Welsh medium,MENAI BRIDGE
Ysgol Gynradd Kingsland,53.30028999,-4.62596001,Welsh medium,HOLYHEAD
Ysgol Gymraeg Morswyn,53.30095999,-4.62327001,Welsh medium,HOLYHEAD
Ysgol Gynradd Corn Hir,53.26163998,-4.32316,Welsh medium,LLANGEFNI
Ysgol Santes Fair,53.30818999,-4.63442999,English medium,HOLYHEAD
Ysgol Caergeiliog,53.27447998,-4.53102001,Dual stream,HOLYHEAD
Ysgol Gwaun Gyfni,53.14748998,-4.12845002,Welsh medium,DEINIOLEN
Ysgol Gynradd Nefyn,52.93524998,-4.52432002,Welsh medium,NEFYN
Ysgol Llanrug,53.14744999,-4.19139001,Welsh medium,LLANRUG
Ysgol Gynradd Abererch,52.90355999,-4.38443,Welsh medium,ABERERCH
Ysgol Beddgelert,53.01238998,-4.10564002,Welsh medium,BEDDGELERT
Ysgol Bethel,53.16491998,-4.20523002,Welsh medium,CAERNARFON
Ysgol Bodfeurig,53.17818998,-4.09004,Welsh medium,SLING
Ysgol Gynradd Borth-Y-Gest,52.91432999,-4.13939002,Welsh medium,BORTH Y GEST
Ysgol Brynaerau,53.04137999,-4.32584001,Welsh medium,PONTLLYFNI
Ysgol Y Gelli,53.14877999,-4.25745002,Welsh medium,CAERNARFON
Ysgol Penybryn,53.18071999,-4.05758002,Welsh medium,BETHESDA
Ysgol Treferthyr,52.91713999,-4.23402,Welsh medium,CRICCIETH
Ysgol Gynradd Chwilog,52.92027999,-4.33415001,Welsh medium,CHWILOG
Ysgol Crud-Y-Werin,52.80757998,-4.71056002,Welsh medium,ABERDARON
Ysgol Dolbadarn,53.11783999,-4.12833002,Welsh medium,LLANBERIS
Ysgol Gynradd Edern,52.92349998,-4.56485001,Welsh medium,EDERN
Ysgol Felinwnda,53.09994999,-4.29394002,Welsh medium,CAERNARFON
Ysgol Bro Plenydd,52.92603999,-4.38533001,Welsh medium,Y FFÔR
Ysgol Gynradd Garndolbenmaen,52.97250999,-4.24246001,Welsh medium,GARNDOLBENMAEN
Ysgol Gynradd Llanbedrog,52.85944,-4.48859002,Welsh medium,LLANBEDROG
Ysgol Gynradd Llangybi,52.94155999,-4.3529,Welsh medium,LLANGYBI
Ysgol Llanllechid,53.18867999,-4.06563002,Welsh medium,RACHUB
Ysgol Gynradd Llanllyfni,53.04111999,-4.28294001,Welsh medium,LLANLLYFNI
Ysgol Babanod Morfa Nefyn,52.93107998,-4.54913,Welsh medium,MORFA NEFYN
