name,iso,Population,region,sub-region,tariffs,"GDP per capita, PPP"
Angola,AGO,37885849.0,Africa,Middle Africa,0.013,10118.60899
Burkina Faso,BFA,23548781.0,Africa,Western Africa,0.222,2895.89152
Botswana,BWA,2521139.0,Africa,Southern Africa,0.097,20538.13202
Cote d'Ivoire,CIV,31934230.0,Africa,Western Africa,0.17,7669.231957
Cameroon,CMR,29123744.0,Africa,Middle Africa,0.09,5588.986459
"Congo, Dem. Rep.",COD,109276265.0,Africa,Middle Africa,0.17,1821.048687
"Congo, Rep.",COG,6332961.0,Africa,Middle Africa,0.17,7026.362233
Cabo Verde,CPV,524877.0,Africa,Western Africa,0.17,11195.12053
Algeria,DZA,46814308.0,Africa,Northern Africa,0.044,17620.7424
"Egypt, Arab Rep.",EGY,116538258.0,Africa,Northern Africa,0.022,19094.14494
Ethiopia,ETH,132059767.0,Africa,Eastern Africa,0.005,3287.534922
Gabon,GAB,2538952.0,Africa,Middle Africa,0.221,21510.17253
Ghana,GHA,34427414.0,Africa,Western Africa,0.166,8019.997024
Kenya,KEN,56432944.0,Africa,Eastern Africa,0.22,6644.130932
Lesotho,LSO,2337423.0,Africa,Southern Africa,0.125,3001.16312
Morocco,MAR,38081173.0,Africa,Northern Africa,0.128,10415.12402
Madagascar,MDG,31964956.0,Africa,Eastern Africa,0.127,1883.537431
Mali,MLI,24478595.0,Africa,Western Africa,0.236,3314.773322
Mozambique,MOZ,34631766.0,Africa,Eastern Africa,0.127,1705.379195
Mauritius,MUS,1259509.0,Africa,Eastern Africa,0.133,31839.75975
Malawi,MWI,21655286.0,Africa,Eastern Africa,0.087,1857.61757
Namibia,NAM,3030131.0,Africa,Southern Africa,0.155,11686.60207
Nigeria,NGA,232679478.0,Africa,Western Africa,0.035,9086.875506
Rwanda,RWA,14256567.0,Africa,Eastern Africa,0.177,3710.860404
Sudan,SDN,50448963.0,Africa,Northern Africa,0.006,2115.816162
Senegal,SEN,18501984.0,Africa,Western Africa,0.197,5070.648621
Sierra Leone,SLE,8642022.0,Africa,Western Africa,0.253,3522.30588
South Sudan,SSD,11943408.0,Africa,Eastern Africa,0.17,
Eswatini,SWZ,1242822.0,Africa,Southern Africa,0.17,11799.20288
Togo,TGO,9515236.0,Africa,Western Africa,0.208,3365.45809
Tunisia,TUN,12277109.0,Africa,Northern Africa,0.069,14521.00809
Tanzania,TZA,68560157.0,Africa,Eastern Africa,0.093,4220.796387
Uganda,UGA,50015092.0,Africa,Eastern Africa,0.169,3273.267174
South Africa,ZAF,64007187.0,Africa,Southern Africa,0.224,15456.19899
Zambia,ZMB,21314956.0,Africa,Eastern Africa,0.019,4214.892778
