Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,12/19/25,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,30245.70697,31920.23907,31888.50874,32507.08431,35059.2731,35098.79767,35937.59466,37768.56601,38904.99925,34339.93916,33729.51191,35324.07206,34095.64717,35901.64596,35657.2872,35972.85966,36117.53526,37524.91492,39287.05971,38543.90729,28854.5973,35104.7868,41758.89576,46574.35742,50649.30152
Africa Eastern and Southern,AFE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,2167.022577,2238.454817,2299.255597,2353.972416,2486.09103,2649.498234,2835.845015,3023.755132,3132.535959,3095.108504,3210.348232,3320.033247,3244.664345,3373.823793,3514.322153,3539.815506,3634.441673,3837.726375,3723.216423,3801.413183,3708.094649,4028.376504,4369.191056,4501.601101,4635.788224
Afghanistan,AFG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,813.550256,747.6880455,926.507941,966.9620321,971.633503,1076.087353,1121.834471,1286.949843,1333.747267,1570.698145,1765.538028,1744.060623,1988.429304,2133.241271,2224.490748,2284.075848,2213.181441,2335.795862,2432.276701,2583.485332,2561.981761,2144.16657,2122.995815,2201.722907,
Africa Western and Central,AFW,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,2457.445111,2575.017011,2807.406331,2948.095191,3184.34533,3380.219194,3569.23524,3762.119849,3963.394037,4122.852971,4346.833633,4531.802947,4661.175276,4861.150622,5114.69221,5056.739439,4965.330229,5026.648499,5179.35999,5484.249418,5414.04254,5690.967743,6220.122875,6520.280313,6815.990961
Angola,AGO,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,3689.537808,3801.633134,4241.291502,4322.197732,4770.688026,5415.61212,6017.818163,6727.963289,7315.602331,7227.563642,7411.654609,7537.596564,8246.360812,8504.095321,9017.690182,8067.485847,7766.837875,8006.836615,8278.368862,8572.878956,7827.428043,8862.281333,9588.241295,9753.600468,10118.60899
Albania,ALB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,3976.926083,4451.000524,4840.347882,5169.842511,5595.55058,6014.326823,6754.356795,7584.970687,8469.260125,9025.926107,9755.92876,10273.46683,10608.79125,10882.05808,11787.87181,12389.93191,13055.55875,14110.51654,15054.99847,16441.80419,16287.64326,18212.85327,22032.46085,24128.84454,26693.19344
Andorra,AND,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,33458.11816,36895.44025,38787.05225,41147.8807,42717.23777,44577.81933,46852.65839,47501.43093,44838.995,42522.99456,43853.17124,46436.11586,45503.04448,45609.23072,48505.60174,50733.239,53110.14263,53084.86396,55244.65541,57475.06928,52095.8414,59332.20291,68470.07595,71730.66868,74939.4746
Arab World,ARB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,9944.486687,10137.39325,10152.49385,10468.01781,11487.51733,12202.83473,13018.85712,13618.27929,14288.84774,14113.55608,14676.78186,15244.9958,16106.53064,16033.85988,15817.08277,14332.86621,13860.66332,14473.33638,15558.1308,15746.00488,14309.39281,16026.6357,17956.13156,18488.74156,18870.31481
United Arab Emirates,ARE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,92899.3675,90370.25412,88466.58162,92635.92269,98661.43706,101301.4123,106814.0536,100813.1882,94628.26666,84780.32097,85120.19747,89665.40189,89198.0119,87526.32548,87477.7342,73986.06364,69986.98357,70281.88895,77446.22699,79816.30109,66790.68227,68580.14854,75071.65863,77955.29518,79228.7388
Argentina,ARG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,11499.9828,11117.75492,9953.464929,10933.39255,12117.67974,13464.81285,14843.57787,16455.11298,17276.75709,16182.07535,17847.61104,19104.99094,19430.41781,19928.98949,19487.41817,19899.14993,20105.76136,23385.07409,24410.39191,23516.8262,22393.34796,26300.27426,29808.80735,30221.49769,30431.19312
Armenia,ARM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,2530.743947,2844.362664,3282.117063,3836.225568,4377.227597,5172.218921,6072.759245,7136.754055,7827.316667,6811.69248,7095.21268,7624.267726,8942.635379,9454.878528,9736.234975,9756.840848,10570.27204,12066.00431,12877.49375,14975.75395,14706.3173,15921.70528,19161.37005,21534.03054,22823.17953
American Samoa,ASM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,19318.89658,18568.67991,18812.78278,20127.34557,21628.68365,23484.80011,26949.40858,29850.56757,29978.20959,26156.91517,24071.0298,23804.07901,23011.73866,21760.52329,21671.47379,20985.43883,21320.43751,21422.00216,24524.2138,26550.58984,22370.09187,25745.49581,29933.88937,31601.75271,33386.19171
Australia,AUS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,26588.48654,27699.04204,29080.04393,30171.92718,31814.59823,33089.70235,34906.81631,36722.26751,37616.01124,40442.58963,39500.63035,42152.81618,43007.26978,46123.4751,47108.59065,46452.35658,47446.2103,48564.82866,50371.23383,52885.83138,54184.16145,58327.41468,66046.59863,70755.41236,71410.41987
Austria,AUT,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,29214.73865,29556.40356,30952.17082,31962.92553,33523.0205,34776.66995,37396.0351,39193.81736,41046.79004,40665.50466,41740.11492,44171.56187,46156.48321,47519.85228,48355.49776,49562.59393,52397.86352,53869.83212,56636.4953,60354.92794,58523.03378,62968.94223,70734.94256,70478.78736,71621.80336
Azerbaijan,AZE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,3439.144429,3834.898159,4230.405902,4718.421123,5247.538344,6854.936188,9398.013248,11973.95963,13216.8435,14245.50354,14930.40999,14804.57445,15994.14665,17267.51189,17563.61225,15075.27263,14535.80202,14315.92964,15282.99952,16675.31794,15163.57033,20111.3757,22552.08866,23651.59949,25088.99938
Burundi,BDI,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,519.2373067,528.4355734,544.92279,531.8126122,551.5622092,553.0479738,579.7078044,593.5607345,609.0429065,604.5881541,613.69588,628.6654483,637.2470802,687.3709683,724.3719542,722.0328984,764.2822216,791.3934949,823.0131022,868.4237317,958.1355995,1035.538574,1104.777188,1149.984058,1194.946814
Belgium,BEL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,27788.09088,28796.57958,30282.28865,30934.58265,32063.98269,33177.89095,35258.98506,36799.53187,37883.33194,37885.90591,39844.40544,41244.8495,42483.52507,43864.12042,45147.64295,46084.24246,48414.55181,50256.06318,52466.73308,56712.46957,56120.09584,60669.21377,68157.83479,69103.01026,72236.90505
Benin,BEN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1671.357252,1745.982562,1799.882696,1841.602973,1915.346443,1945.564141,2020.605677,2135.537879,2215.351639,2213.328956,2220.328546,2264.841869,2346.084162,2511.653096,2670.415614,2725.337248,2842.024626,2885.89384,2965.306281,3148.979696,3244.587728,3464.288629,3844.154157,4129.96612,4434.564218
Burkina Faso,BFA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,896.4774815,947.9193747,973.9839334,1037.837994,1079.000091,1171.764323,1244.002438,1290.49951,1351.360416,1359.692249,1449.422164,1531.343382,1571.838845,1642.892131,1661.317738,1691.579354,1881.758931,2042.402953,2073.323538,2232.16282,2380.722828,2486.430931,2645.24068,2759.302055,2895.89152
Bangladesh,BGD,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1511.905006,1597.587406,1658.802309,1746.127258,1861.512563,2019.738396,2195.294855,2388.100252,2554.857882,2675.259459,2833.695444,3051.269833,3434.278151,3691.104311,3972.506477,4212.235781,4579.132287,4882.606926,5490.158819,6047.124015,6640.584373,7441.06914,8450.549025,9147.777507,9646.769844
Bulgaria,BGR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,6422.789329,6961.039968,7786.421745,8417.470733,9201.739738,10291.44588,11408.04952,12822.31305,14346.87588,14180.72807,14955.91578,15747.42016,16327.28774,16893.81669,17990.82696,18901.1717,20745.4005,22316.9752,23997.21377,26765.13821,27352.03087,30959.19712,35815.27142,37435.27634,41519.53979
Bahrain,BHR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,45687.52174,46161.57585,45091.48942,45426.93459,46317.02848,47268.27216,48009.49174,49347.49462,50330.32486,48625.65692,49254.57701,52677.45112,56712.56927,56310.31175,54299.05646,48034.24689,47428.90189,50184.50058,51993.13078,56599.52144,53436.0317,54954.67579,61677.65385,64171.08574,66941.24304
"Bahamas, The",BHS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,25421.62294,26351.07603,27171.30841,27030.89694,27659.53795,29142.90022,30401.50769,31232.13137,30678.62655,29196.61785,29624.97539,30073.67693,31035.55006,30294.47683,31726.17409,32137.57847,32285.27604,34282.17104,35227.76191,36116.0002,27204.62591,31064.68222,36791.40105,39090.12147,41197.93425
Bosnia and Herzegovina,BIH,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,4147.038135,4307.12305,4664.685187,4917.864024,5408.161336,5955.839207,6870.506528,7686.413935,8586.778048,8693.618397,9086.748535,9761.515196,10121.15564,10808.31215,11167.86781,11848.63224,12899.10377,13626.91514,14858.28291,16428.39366,16369.9356,18286.72254,21117.28308,22512.4345,22955.76162
Belarus,BLR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,5795.652236,6238.098624,6697.154362,7361.721611,8482.920207,9636.891124,10994.59813,12320.02403,13886.13141,14034.19112,15339.0999,16563.20141,18114.75086,19014.05297,19037.88474,18133.53131,17832.47789,18413.74756,20025.98155,22301.59324,24872.30667,27611.18011,28429.49488,30834.17737,33010.33076
