,name,iso,Electricity Access,region,Electric Power Consumption,Population,GDP per Capita
0,Algeria,DZA,100,Africa,1756.587213,45477389.0,4961.552577
1,Angola,AGO,48.5,Africa,392.5070469,35635029.0,2929.694455
2,Benin,BEN,56.5,Africa,105.3090515,13759501.0,1266.42711
3,Botswana,BWA,75.9,Africa,1522.198524,2439892.0,8328.709057
4,Burkina Faso,BFA,19.5,Africa,131.1917462,22509038.0,836.1183046
5,Cameroon,CMR,71,Africa,283.6849044,27632771.0,1604.87727
6,Chad,TCD,11.7,Africa,14.46737623,18455316.0,966.0364683
7,"Congo, Dem. Rep.",COD,21.5,Africa,130.6679315,102396968.0,642.6122671
8,"Congo, Rep.",COG,50.6,Africa,458.98132,6035104.0,2620.838043
9,Cote d'Ivoire,CIV,72,Africa,323.7045354,30395002.0,2333.371283
10,"Egypt, Arab Rep.",EGY,100,Africa,1477.948734,112618250.0,4233.307837
11,Equatorial Guinea,GNQ,67,Africa,744.644575,1803545.0,7589.299649
12,Eswatini,SWZ,82.3,Africa,1137.074961,1218917.0,3889.65277
13,Ethiopia,ETH,55.4,Africa,92.43582491,125384287.0,1011.073324
14,Gabon,GAB,93.5,Africa,1065.104678,2430747.0,8409.207415
15,Ghana,GHA,85.1,Africa,552.5028212,33149152.0,2229.891226
16,Kenya,KEN,76,Africa,189.3554654,54252461.0,2109.562885
17,Libya,LBY,70,Africa,3979.066434,7223805.0,5986.636949
18,Madagascar,MDG,36.1,Africa,81.31480687,30437261.0,503.5145335
19,Mauritius,MUS,100,Africa,2334.214901,1262523.0,10223.78823
20,Morocco,MAR,100,Africa,978.2725867,37329064.0,3455.39624
21,Mozambique,MOZ,33.2,Africa,397.718709,32656246.0,578.2516638
22,Namibia,NAM,56.2,Africa,1230.939812,2889662.0,4349.799085
23,Niger,NER,19.5,Africa,62.42105268,25311973.0,609.7451477
24,Nigeria,NGA,60.5,Africa,135.6033094,223150896.0,2139.374785
25,Rwanda,RWA,50.6,Africa,68.12672743,13651030.0,975.469324
26,Senegal,SEN,67.9,Africa,399.5217749,17651103.0,1574.028106
27,South Africa,ZAF,86.5,Africa,3404.623491,62378410.0,6523.410978
28,Sudan,SDN,63.2,Africa,278.8186932,49383346.0,1046.240845
29,Tanzania,TZA,45.8,Africa,123.4704862,64711821.0,1207.853027
30,Togo,TGO,57.2,Africa,191.864716,9089738.0,898.7581544
31,Tunisia,TUN,100,Africa,1595.46721,12119334.0,3708.848124
32,Uganda,UGA,47.1,Africa,89.87012562,47312719.0,963.0673142
33,Zambia,ZMB,47.8,Africa,703.966836,20152938.0,1447.123101
34,Zimbabwe,ZWE,50.1,Africa,538.7995412,16069056.0,2040.546587
